base judge R  Y/X  θ
1 F 0.0 0.00 0.00
2 F 1.0 0.00 0.00
3 F 1.0 0.00 0.00
4 F 2.0 0.00 0.00
5 F 2.0 0.00 0.00
6 F 3.0 0.00 0.00
7 F 3.0 0.00 0.00
8 F 4.0 0.00 0.00
9 F 4.0 0.00 0.00
10 F 5.0 0.00 0.00
11 F 5.0 0.00 0.00
12 F 6.0 0.00 0.00
13 F 6.0 0.00 0.00
14 F 7.0 0.00 0.00
15 F 7.0 0.00 0.00
16 F 8.0 0.00 0.00
17 F 8.0 0.00 0.00
18 F 9.0 0.00 0.00
19 F 9.0 0.00 0.00
20 F 10.0 0.00 0.00
21 F 10.0 0.00 0.00
22 F 11.0 0.00 0.00
23 F 11.0 0.00 0.00
24 F 12.0 0.00 0.00
25 F 12.0 0.00 0.00
26 T 1.0 1.00 90.00
27 T 2.0 0.00 0.00
28 T 2.0 1.00 0.00
29 T 2.0 1.00 63.64
30 T 2.0 1.00 90.00
31 T 3.0 0.00 0.00
32 T 3.0 0.58 0.00
33 T 3.0 0.58 60.00
34 T 3.0 0.58 90.00
35 T 3.0 1.73 0.00
36 T 3.0 1.73 34.64
37 T 3.0 1.73 69.28
38 T 3.0 1.73 90.00
39 T 4.0 0.00 0.00
40 T 4.0 0.41 0.00
41 T 4.0 0.41 58.80
42 T 4.0 0.41 90.00
43 T 4.0 1.00 0.00
44 T 4.0 1.00 31.82
45 T 4.0 1.00 63.64
46 T 4.0 1.00 90.00
47 T 4.0 2.41 0.00
48 T 4.0 2.41 24.35
49 T 4.0 2.41 48.71
50 T 4.0 2.41 73.06
51 T 4.0 2.41 90.00
52 T 5.0 0.00 0.00
53 T 5.0 0.32 0.00
54 T 5.0 0.32 58.25
55 T 5.0 0.32 90.00
56 T 5.0 0.73 0.00
57 T 5.0 0.73 30.62
58 T 5.0 0.73 61.25
59 T 5.0 0.73 90.00
60 T 5.0 1.38 0.00
61 T 5.0 1.38 22.25
62 T 5.0 1.38 44.50
63 T 5.0 1.38 66.75
64 T 5.0 1.38 90.00
65 T 5.0 3.08 0.00
66 T 5.0 3.08 18.93
67 T 5.0 3.08 37.85
68 T 5.0 3.08 56.78
69 T 5.0 3.08 75.71
70 T 5.0 3.08 90.00
71 T 6.0 0.00 0.00
72 T 6.0 0.27 0.00
73 T 6.0 0.27 57.96
74 T 6.0 0.27 90.00
75 T 6.0 0.58 0.00
76 T 6.0 0.58 30.00
77 T 6.0 0.58 60.00
78 T 6.0 0.58 90.00
79 T 6.0 1.00 0.00
80 T 6.0 1.00 21.21
81 T 6.0 1.00 42.43
82 T 6.0 1.00 63.64
83 T 6.0 1.00 84.85
84 T 6.0 1.00 90.00
85 T 6.0 1.73 0.00
86 T 6.0 1.73 17.32
87 T 6.0 1.73 34.64
88 T 6.0 1.73 51.96
89 T 6.0 1.73 69.28
90 T 6.0 1.73 86.60
91 T 6.0 1.73 90.00
92 T 6.0 3.73 0.00
93 T 6.0 3.73 15.53
94 T 6.0 3.73 31.06
95 T 6.0 3.73 46.59
96 T 6.0 3.73 62.12
97 T 6.0 3.73 77.65
98 T 6.0 3.73 90.00
99 T 7.0 0.00 0.00
100 T 7.0 0.23 0.00
101 T 7.0 0.23 57.78
102 T 7.0 0.23 90.00
103 T 7.0 0.48 0.00
104 T 7.0 0.48 29.63
105 T 7.0 0.48 59.27
106 T 7.0 0.48 90.00
107 T 7.0 0.80 0.00
108 T 7.0 0.80 20.62
109 T 7.0 0.80 41.24
110 T 7.0 0.80 61.86
111 T 7.0 0.80 82.49
112 T 7.0 0.80 90.00
113 T 7.0 1.25 0.00
114 T 7.0 1.25 16.44
115 T 7.0 1.25 32.89
116 T 7.0 1.25 49.33
117 T 7.0 1.25 65.78
118 T 7.0 1.25 82.22
119 T 7.0 1.25 90.00
120 T 7.0 2.08 0.00
121 T 7.0 2.08 14.27
122 T 7.0 2.08 28.54
123 T 7.0 2.08 42.81
124 T 7.0 2.08 57.08
125 T 7.0 2.08 71.35
126 T 7.0 2.08 85.62
127 T 7.0 2.08 90.00
128 T 7.0 4.38 0.00
